"Row.names","logFC","logCPM","PValue","FDR"," DMSO"," Indole"," TCDD"
"Zc3h4",0.148212650112032,6.18683696133489,0.329537561749472,0.670774721050348,1102.80993188987,1274.22375508093,1461.05100211016
"Pgm1",-0.176805930105587,7.73872896601533,0.329708669172414,0.670830330739258,3820.15724300801,3575.45764227864,3754.39202943984
"Best2",0.238335491673278,2.78836795286837,0.329805990809935,0.670903130240171,100.082904352907,122.956154689006,132.246197704092
"Ttf1",0.15569026233997,4.96787664646755,0.329865235158143,0.670903130240171,505.276566666972,581.759648945919,579.067090080098
"Gemin7",0.215252052428345,4.5811350389099,0.329987068176897,0.67102806889569,385.328051358684,462.031506390361,435.274486121801
"Pum2",0.166474704797237,7.76540933564592,0.330214596530003,0.671245005096396,3515.06561886083,4061.43088951087,4088.42856540493
"Umps",0.166438060471246,5.26276245037417,0.330165111148782,0.671245005096396,590.172613400241,702.134764983385,739.05023083833
"Ttc33",-0.166440421079376,4.06369899936078,0.330474944980689,0.671651328904221,309.90673465977,286.694130928881,288.566114791342
"Gpkow",0.14227272827829,5.40236117462033,0.330597406770219,0.671747882315158,672.318915506644,781.331332811287,790.711797729476
"Wash",-0.175437946217795,4.82589300196915,0.330643390089053,0.671747882315158,497.843292268789,466.968609927725,520.778977961141
"Crebbp",-0.201566944176833,5.51120940634241,0.330906928144038,0.671840137927537,763.946388967437,692.319219588584,914.593949912951
"Echdc1",0.155297808251001,4.71135508928787,0.330930707961066,0.671840137927537,419.122600561363,491.463381685715,485.425249397514
"Eif4ebp2",0.148877946768017,6.57035019356337,0.330821173586344,0.671840137927537,1467.62712974288,1696.55447798686,1846.50547673593
"Prdm16",0.162139199348046,4.12636377944351,0.330761118870748,0.671840137927537,267.829111849506,313.392766324613,337.092190000934
"Gfm2",0.147553387404639,6.21870502548715,0.331588610400901,0.672620872096997,1154.75857889982,1348.98238944557,1428.80298239537
"Slc22a23",0.136681887602375,7.34190883848412,0.331595558504208,0.672620872096997,2686.43192176659,3057.2538539739,2870.84876737493
"Smyd4",-0.239865955040363,1.88271361264376,0.331435759911901,0.672620872096997,68.2507747504233,60.8176115649396,61.9691433652112
"Socs4",0.214157742631655,6.1851125874001,0.331618013905415,0.672620872096997,1193.71395019716,1407.00066314373,1294.69026797033
"Zmym3",0.155440430304431,4.81030353837408,0.33158198291756,0.672620872096997,423.496425912119,493.295369367133,564.67247832472
"Trappc1",-0.175145086230757,5.35706781465086,0.33169430603754,0.67265280134557,735.145326387604,682.044900474694,727.498846020869
"Dph6",-0.19023485507557,4.81052084656009,0.332139764754059,0.672696562744364,500.356165339869,450.072285373981,549.115838633822
"Gjb2",-0.150835418852203,5.14210990273766,0.332122385996529,0.672696562744364,618.587572030144,581.02231114245,666.267482041993
"Mrps24",0.1976130231526,4.67859702429471,0.331885656864102,0.672696562744364,416.401056440962,500.2954405131,460.554589615213
"Rap1a",0.162780876170043,5.59839588263357,0.332119096866955,0.672696562744364,773.351262919356,911.632328239783,913.338447389666
"Rasd2",0.257097576580866,2.36951200571375,0.331919264126302,0.672696562744364,75.2405069363186,95.5961500428827,95.3265286109792
"Slc44a3",-0.147348525927982,6.45712398116477,0.332023987021401,0.672696562744364,1569.0149444885,1495.72652527177,1562.6509058625
"Wdr83os",-0.194053292297803,3.91509567465579,0.331893152774121,0.672696562744364,264.710263130146,246.073195064036,277.760934544599
"Ccar1",0.136178360811436,6.93519773899279,0.332386049446636,0.67282737305078,1881.21442015198,2166.72706875981,2447.8614516522
"Cuta",-0.165083696160706,5.41471855845056,0.332348459184181,0.67282737305078,763.019383533543,724.941539963989,759.478095725859
"Uggt1",0.131866441610199,7.82787634452127,0.332313013260524,0.67282737305078,3654.09837717942,4156.70432619344,4245.23967166879
"Mal2",-0.136224848499442,9.39862014280317,0.332621855934911,0.67318203636016,11928.3886923105,11304.4061732059,12473.9784604673
"Add3",0.145712915690299,6.20791444818135,0.332866623345432,0.673457941575389,1160.79061028959,1342.92640098959,1390.33553935625
"Rpl38",0.231627952980314,5.16297626475426,0.332879427238317,0.673457941575389,561.088958506198,678.087165645162,695.682840428299
"Slc39a5",0.198063719265461,5.90543888920366,0.332999392880235,0.673577978060184,924.547441223766,1127.2618639802,1097.28805134526
"Lyrm5",-0.156431409179967,4.97157559066838,0.333104020835602,0.673666952023066,575.884021092236,534.549163550819,558.317578929293
"Cbr2",-0.162096188858538,8.87792264552244,0.333242498434071,0.673711002512279,7999.56856043546,7579.48497941611,9314.1908902736
"Fam98c",-0.164743281886388,5.29499409017526,0.333247093240163,0.673711002512279,691.538757691135,649.180304410496,717.186506710968
"Ppp2ca",-0.130535579744346,8.4739184545235,0.333429724991714,0.673957571858253,6422.99237070472,6118.58594156569,6322.67863432253
"Tmem62",-0.20621490771971,4.13219247653599,0.333597171836015,0.674173364003328,323.565692811153,288.376309640378,326.023965868286
"Pigyl",0.179735055237802,3.60184648006556,0.333692148940657,0.674242648705303,194.141318144935,229.612762643417,214.783162505264
"Usp18",0.328934190249902,1.87182855645202,0.33384007113514,0.674418867110434,54.1267357018773,74.0986548327623,61.6636698806841
"Arhgef3",-0.151570634212853,5.54929742271639,0.333926472207254,0.674439553821348,866.175060405292,805.819400761152,790.385644186635
"Glrx3",0.167157731053302,4.62497500471318,0.333971733330744,0.674439553821348,381.336702607831,452.091455590237,487.345958586654
"Arih2",-0.142113507490402,6.01482274677683,0.33412368257254,0.674471045438706,1176.99554282659,1098.53756821269,1155.49232870209
"Ptgfrn",-0.133832515067102,8.02482681516593,0.334169469267678,0.674471045438706,4605.19223771569,4360.80317731696,4840.56261988237
"Smarcc2",-0.178863703508224,7.40899263208275,0.334090907919144,0.674471045438706,2856.18737495673,2642.98441378678,3387.5961461109
"Pds5a",0.16394025666841,7.10079698419039,0.334243202491953,0.674497318162235,2188.47853877435,2518.86786709779,2642.43682984552
"Cmas",0.136570952959669,8.88521274184554,0.334684701350813,0.674652939086587,7626.46602995607,8785.52721886713,8814.23294324805
"Myo10",-0.149304916748788,7.17020459033862,0.334587678427765,0.674652939086587,2594.3887938525,2409.92448393481,2587.7715713712
"P2rx4",-0.19609012298203,6.54934475127605,0.334579073487441,0.674652939086587,1697.83632840131,1571.76425382607,1600.8181545835
"Pnkp",-0.17982494114789,4.9044219738212,0.334457049645753,0.674652939086587,536.796405090743,503.555526972086,532.085566746367
"Ube2j2",0.152928987595519,5.18067208192779,0.334631623319955,0.674652939086587,596.064586008039,694.96657480997,643.744488479602
"Zfr",-0.146592059465924,7.09882663086724,0.334432355905385,0.674652939086587,2375.94396896044,2210.52673734468,2678.65021511219
"Slc26a3",-0.185672480525284,8.43857087830662,0.3347550160397,0.674672255657661,6716.36884341926,6025.23380860531,5681.36121980064
"AU019823",0.157228265432371,4.67237943043113,0.335085194507193,0.675205024279981,414.517834289555,478.758591914874,456.133875869189
"Exosc10",-0.1639534511721,6.46570938643196,0.335206646519368,0.675205024279981,1494.05198106612,1414.95642755444,1750.92017420699
"Med25",0.148914993437958,6.16979364765695,0.335222472806597,0.675205024279981,1102.74081599105,1287.3237750566,1418.1662977617
"Sept5",-0.242954983338133,7.76844535529828,0.335262482125158,0.675205024279981,3658.44496816602,3311.22930925839,4342.45938523817
"Cdx2",0.16659570496616,7.81359282365541,0.33556354654137,0.675384396054083,3247.96884573961,3895.99390548087,4863.91161377374
"D6Wsu163e",0.160766807889435,4.22003788755135,0.335506051529241,0.675384396054083,292.232966818091,344.217677932451,355.084986452241
"Gmnn",0.175612504542955,4.53275493801084,0.33556425856553,0.675384396054083,371.843010594003,440.516042117611,423.252952475189
"Tsen54",0.157175866856693,4.14226731450687,0.335594730958551,0.675384396054083,279.67913143853,327.033493962856,325.560506451084
"Gpatch3",-0.209130335973172,2.35314435391114,0.335814659361303,0.675582225795855,95.8823479358571,86.3605126175366,83.3621895722135
"Tmem82",0.166601318339364,4.24246922809805,0.335771400850182,0.675582225795855,306.019032141647,356.049416110748,343.254126937834
"Gm9843",0.461143640576292,2.90078185587203,0.336072857907171,0.675817303621643,114.598070048322,160.238414136063,127.417787916509
"Hscb",-0.170028450464648,3.56399750090285,0.336082432005446,0.675817303621643,213.296550272639,198.993725212002,212.909286742379
"Tmem248",-0.13774831388185,6.90964446877028,0.336114015888881,0.675817303621643,2131.37448767624,2016.7189826749,2217.18302170632
"Sap30bp",-0.171019959281688,5.40355367961422,0.336327133146414,0.676001107675686,721.835763283559,675.065867709228,821.813709473228
"Stil",0.184997454001298,3.52837516840861,0.336315323788299,0.676001107675686,181.003440768005,211.556789457496,217.938060335293
"Dennd4a",-0.205473809207296,4.53503269094588,0.336417366802374,0.676060153366059,428.338979272036,374.384676766632,427.362812860356
"Eps15",-0.162768884046521,6.56875243877021,0.337286864962497,0.677439845031347,1724.71196712484,1578.37034706136,1764.43032165033
"Prdm15",0.1820791890458,4.32382487198466,0.337228017965064,0.677439845031347,320.810135383512,373.253101235917,369.07321778323
"Smpd4",0.14826183100674,5.27182177208716,0.337192350943186,0.677439845031347,602.878455448247,695.973345154354,734.452626436617
"Utp14b",-0.167658422290897,6.07918864275693,0.337355700203127,0.677455617056496,1239.02551486991,1132.04120244536,1211.94082690715
"Plekhh2",-0.239007370604053,3.15436665984681,0.337454851583569,0.677532251263667,161.127682291848,141.466645503449,164.166246833409
"Trpv3",-0.25470749931173,4.38446432923869,0.337558439639689,0.677617763996621,422.0504133184,353.792709665597,334.407869978878
"1700019D03Rik",0.242781348329493,3.16691929676048,0.338147449653735,0.67762300450757,136.985286143148,167.737065069551,172.047237863152
"App",0.144380389673423,10.0867979985957,0.33815211390494,0.67762300450757,16971.3238174961,19822.0497003684,20858.660284107
"Ccdc137",0.153974159714042,4.72313667439587,0.338172352317093,0.67762300450757,405.36747103533,476.133613496551,518.455554035704
"Celf2",0.216492560780085,2.43644564474226,0.33827491084433,0.67762300450757,82.6481017871425,97.5256842732393,99.1901160872923
"Cystm1",-0.132207733128133,8.45143853924493,0.338123090481531,0.67762300450757,6413.59980979059,6137.031769046,6058.05558956816
"Foxn3",0.239225232977059,3.03631461711809,0.337766625342978,0.67762300450757,130.054127541025,156.658398885767,144.992414271636
"Mettl17",0.160171514078665,4.96766522190592,0.338148936858621,0.67762300450757,489.775535481526,568.533749503276,610.491486936593
"Mtx2",0.157469048365143,6.26758617563559,0.338065441828565,0.67762300450757,1246.05919072471,1464.53018066968,1421.52157823925
"Pbp2",-0.270855902273497,1.87238732963471,0.338297294558685,0.67762300450757,62.6962133191651,54.7214752390049,74.1849617666095
"Plekhm2",-0.178908104332211,4.58155171088021,0.338237895677181,0.67762300450757,413.219269603107,380.978792068621,463.033810661851
"Sdf2",0.147328535059304,6.06621623154411,0.33778350557013,0.67762300450757,1103.86552891807,1278.67173138692,1186.69791367481
"Srrd",-0.256105847292016,2.53115638077732,0.338354019804077,0.67762300450757,100.81002655214,89.420711079349,106.057378183071
"Zfp846",-0.201202253414772,2.7620482204823,0.337966676645421,0.67762300450757,129.120591883632,118.815039928251,105.833432292155
"Alg5",0.142824152969171,5.36423652362739,0.33856289864358,0.677919113379872,656.340138114836,762.123056201943,776.554243833062
"Eif1a",0.151542879348929,7.43337653379266,0.338660808476279,0.677992957535228,2781.64855499073,3205.15163182799,3283.48037582483
"Cdk2",0.148289626399762,4.53988055922006,0.338896510353539,0.67834258261576,371.441088145126,430.09550793489,424.946743177985
"Spint2",-0.138653339511088,10.3645905083377,0.339017189888255,0.678461891995789,23620.7876431802,22621.8269638291,23689.5613911008
"Plcb3",-0.152855715626865,9.3943900058231,0.33935107584154,0.679007763242735,11562.9124974346,10975.8966851958,12924.9501558173
"Cox15",-0.13089341560479,6.45602114897412,0.339637125634832,0.679457739722195,1531.76369138789,1466.09303126584,1665.00776725912
"Ifnlr1",-0.158075803462204,5.11022761165013,0.339830994576869,0.679723175865042,631.841286788723,579.725324743141,608.329364447277
"Aagab",0.149868428423234,6.11866325694055,0.340081032760846,0.679877071645054,1089.46831371747,1281.39582408621,1322.64615068638
"Actr6",0.329515402656541,2.57475095042526,0.340371650572867,0.679877071645054,93.7927223790397,121.564787893822,100.684139304578
"Adam10",-0.140394607766173,7.89841779946403,0.340514856490566,0.679877071645054,4283.71999238136,4010.43471330951,4388.27675589409
"Blvra",-0.162884770233518,4.30222573711321,0.340177845139851,0.679877071645054,356.58692506766,333.661546778066,360.528771960253
"Degs2",-0.148442986957333,8.18592974967684,0.340343643187543,0.679877071645054,5074.51544050253,4844.98299559213,5452.795630347
