sample_id,Indole2,Indole3,Indole1,DMSO1,DMSO2,DMSO3,TCDD1,TCDD2,TCDD3
Rabac1,452,618,667,641,362,636,261,736,600
Rabep1,728,756,886,566,527,575,486,783,776
Rabep2,350,406,453,408,591,436,512,460,461
Rabepk,315,328,367,321,405,305,334,430,367
Rabgap1,941,1019,1084,1076,728,947,800,1034,1156
Rabgap1l,1146,1307,1326,1336,930,1150,1123,1262,1444
Rabgef1,950,1039,1121,1229,887,1065,816,1158,1122
Rabggta,531,542,601,950,460,717,447,732,621
Rabggtb,954,1071,1218,974,1083,931,885,1273,1170
Rabif,732,820,894,853,535,686,459,876,815
Rabl2,50,101,84,89,80,80,78,106,104
Rabl3,272,308,341,421,335,322,320,404,363
Rabl6,1451,1736,1847,1683,2043,1545,2074,2088,1848
Rac1,7584,8502,9493,8946,8613,8499,7364,9383,9655
Rac2,3,3,7,2,5,1,5,0,3
Rac3,492,560,624,709,604,716,557,856,645
Racgap1,367,480,413,278,509,287,506,345,466
Rad1,157,168,199,154,126,155,102,186,142
Rad17,489,538,611,516,427,492,462,529,561
Rad18,113,120,141,222,97,119,115,125,161
Rad21,2859,3347,3442,3557,3145,3091,3256,3461,3623
Rad21l,0,0,0,0,0,0,0,0,0
Rad23a,875,1114,1215,1131,993,1031,1064,1257,1148
Rad23b,3622,4241,4688,4146,5357,3863,6364,4874,4633
Rad50,759,885,931,845,886,759,894,934,897
Rad51,146,186,211,146,143,132,155,210,227
Rad51ap1,49,84,112,42,77,58,56,89,92
Rad51ap2,0,0,1,0,0,0,1,1,0
Rad51b,10,12,11,12,5,5,5,13,14
Rad51c,27,31,29,51,35,51,31,31,39
Rad51d,383,463,454,469,435,443,392,472,485
Rad52,107,142,130,145,123,110,111,155,117
Rad54b,38,38,46,29,43,26,28,30,40
Rad54l,74,106,84,63,93,75,65,86,112
Rad54l2,847,933,1002,1068,628,814,866,1049,1078
Rad9a,155,186,200,251,289,190,262,234,206
Rad9b,67,67,78,64,67,73,102,91,90
Radil,0,0,0,0,0,1,0,0,0
Rae1,788,951,1005,747,1025,749,883,1046,906
Raet1d,0,0,1,0,0,0,1,0,0
Raet1e,309,340,331,361,419,334,318,356,424
Raf1,1872,2322,2423,2288,1841,2241,1734,2481,2262
Rag1,0,0,0,0,0,0,0,2,0
Rag2,0,0,0,0,0,0,0,0,0
Rai1,565,594,657,601,547,594,775,765,705
Rai14,982,1091,1100,1229,996,999,1098,1166,1109
Rai2,4,9,6,2,10,2,14,3,7
Rala,1878,2184,2424,2318,3261,2299,2569,2533,2367
Ralb,2168,2667,2812,2656,2578,2758,2279,2914,2782
Ralbp1,1581,1937,2041,1942,1622,1897,1680,2109,2080
Ralgapa1,1484,1574,1720,2214,1122,1795,1310,2097,1989
Ralgapa2,2912,3203,3295,3072,2467,2763,3379,3927,4488
Ralgapb,2527,2673,2811,3002,1769,2641,1964,2855,3060
Ralgds,1326,1656,1759,1872,1872,1681,1755,1786,1665
Ralgps1,203,220,207,228,153,210,174,225,229
Ralgps2,1468,1582,1838,1452,1414,1468,1292,1590,1710
Raly,2502,3002,3437,2660,3165,2982,2438,3423,3191
